Best model: dsc0.196.pth.tar
Trans diff: 0.7687, Raw diff: 0.5262
Trans diff: 0.7971, Raw diff: 0.5262
Trans diff: 0.8293, Raw diff: 0.5282
Trans diff: 0.8162, Raw diff: 0.5282
Trans diff: 0.8368, Raw diff: 0.5841
Trans diff: 0.8435, Raw diff: 0.5841
Trans diff: 0.7427, Raw diff: 0.4320
Trans diff: 0.7181, Raw diff: 0.4320
Trans diff: 0.7245, Raw diff: 0.4723
Trans diff: 0.7640, Raw diff: 0.4723
Trans diff: 0.7365, Raw diff: 0.5256
Trans diff: 0.6647, Raw diff: 0.5256
Trans diff: 0.8211, Raw diff: 0.5160
Trans diff: 0.8233, Raw diff: 0.5160
Trans diff: 0.6706, Raw diff: 0.4889
Trans diff: 0.7302, Raw diff: 0.4889
Trans diff: 0.7579, Raw diff: 0.4127
Trans diff: 0.7540, Raw diff: 0.4127
Trans diff: 0.7090, Raw diff: 0.4945
Trans diff: 0.7242, Raw diff: 0.4945
Trans diff: 0.7916, Raw diff: 0.4800
Trans diff: 0.7903, Raw diff: 0.4800
Trans diff: 0.4763, Raw diff: 0.2552
Trans diff: 0.4694, Raw diff: 0.2552
Trans diff: 0.8068, Raw diff: 0.4625
Trans diff: 0.7952, Raw diff: 0.4625
Trans diff: 0.7374, Raw diff: 0.4114
Trans diff: 0.7505, Raw diff: 0.4114
Trans diff: 0.3931, Raw diff: 0.4410
Trans diff: 0.5677, Raw diff: 0.4410
Trans diff: 0.8103, Raw diff: 0.5232
Trans diff: 0.8115, Raw diff: 0.5232
Trans diff: 0.8080, Raw diff: 0.5256
Trans diff: 0.8080, Raw diff: 0.5256
Trans diff: 0.6443, Raw diff: 0.3729
Trans diff: 0.6851, Raw diff: 0.3729
Trans diff: 0.6640, Raw diff: 0.4439
Trans diff: 0.7347, Raw diff: 0.4439
Trans diff: 0.7165, Raw diff: 0.3787
Trans diff: 0.6606, Raw diff: 0.3787
Trans diff: 0.8181, Raw diff: 0.5558
Trans diff: 0.8240, Raw diff: 0.5558
Trans diff: 0.8378, Raw diff: 0.5897
Trans diff: 0.8267, Raw diff: 0.5897
Trans diff: 0.7685, Raw diff: 0.5221
Trans diff: 0.7898, Raw diff: 0.5221
Trans diff: 0.7393, Raw diff: 0.5316
Trans diff: 0.7058, Raw diff: 0.5316
Trans diff: 0.8116, Raw diff: 0.4578
Trans diff: 0.7907, Raw diff: 0.4578
Trans diff: 0.7883, Raw diff: 0.5348
Trans diff: 0.7779, Raw diff: 0.5348
Trans diff: 0.5972, Raw diff: 0.4428
Trans diff: 0.4744, Raw diff: 0.4428
Trans diff: 0.7521, Raw diff: 0.4621
Trans diff: 0.7926, Raw diff: 0.4621
Trans diff: 0.8397, Raw diff: 0.5898
Trans diff: 0.8460, Raw diff: 0.5898
Trans diff: 0.6075, Raw diff: 0.4411
Trans diff: 0.6861, Raw diff: 0.4411
Trans diff: 0.8134, Raw diff: 0.5219
Trans diff: 0.8290, Raw diff: 0.5219
Trans diff: 0.7941, Raw diff: 0.5477
Trans diff: 0.8117, Raw diff: 0.5477
Trans diff: 0.7428, Raw diff: 0.3924
Trans diff: 0.7206, Raw diff: 0.3924
Trans diff: 0.8191, Raw diff: 0.5589
Trans diff: 0.8162, Raw diff: 0.5589
Trans diff: 0.6497, Raw diff: 0.4281
Trans diff: 0.6987, Raw diff: 0.4281
Trans diff: 0.7588, Raw diff: 0.4306
Trans diff: 0.7581, Raw diff: 0.4306
Trans diff: 0.6948, Raw diff: 0.4073
Trans diff: 0.7180, Raw diff: 0.4073
Trans diff: 0.8314, Raw diff: 0.5266
Trans diff: 0.8240, Raw diff: 0.5266
Trans diff: 0.6906, Raw diff: 0.5116
Trans diff: 0.7343, Raw diff: 0.5116
Trans diff: 0.7602, Raw diff: 0.4598
Trans diff: 0.7596, Raw diff: 0.4598
Trans diff: 0.5810, Raw diff: 0.4783
Trans diff: 0.6963, Raw diff: 0.4783
Trans diff: 0.7401, Raw diff: 0.4012
Trans diff: 0.7277, Raw diff: 0.4012
Trans diff: 0.5729, Raw diff: 0.3616
Trans diff: 0.6170, Raw diff: 0.3616
Trans diff: 0.7726, Raw diff: 0.4810
Trans diff: 0.7950, Raw diff: 0.4810
