Best model: dsc0.197.pth.tar
Trans diff: 0.5746, Raw diff: 0.3369
Trans diff: 0.5867, Raw diff: 0.3369
Trans diff: 0.7281, Raw diff: 0.4896
Trans diff: 0.7236, Raw diff: 0.4896
Trans diff: 0.5751, Raw diff: 0.4369
Trans diff: 0.6657, Raw diff: 0.4369
Trans diff: 0.8373, Raw diff: 0.5551
Trans diff: 0.8344, Raw diff: 0.5551
Trans diff: 0.8008, Raw diff: 0.5712
Trans diff: 0.7755, Raw diff: 0.5712
Trans diff: 0.7777, Raw diff: 0.4926
Trans diff: 0.7520, Raw diff: 0.4926
Trans diff: 0.7900, Raw diff: 0.5400
Trans diff: 0.7561, Raw diff: 0.5400
Trans diff: 0.8379, Raw diff: 0.5689
Trans diff: 0.8387, Raw diff: 0.5689
Trans diff: 0.7608, Raw diff: 0.4969
Trans diff: 0.7109, Raw diff: 0.4969
Trans diff: 0.7420, Raw diff: 0.4726
Trans diff: 0.7603, Raw diff: 0.4726
Trans diff: 0.8048, Raw diff: 0.5165
Trans diff: 0.8218, Raw diff: 0.5165
Trans diff: 0.6697, Raw diff: 0.3667
Trans diff: 0.7040, Raw diff: 0.3667
Trans diff: 0.6487, Raw diff: 0.4717
Trans diff: 0.4999, Raw diff: 0.4717
Trans diff: 0.6092, Raw diff: 0.3769
Trans diff: 0.4608, Raw diff: 0.3769
Trans diff: 0.6775, Raw diff: 0.5180
Trans diff: 0.5831, Raw diff: 0.5180
Trans diff: 0.6092, Raw diff: 0.4036
Trans diff: 0.6607, Raw diff: 0.4036
Trans diff: 0.8137, Raw diff: 0.6502
Trans diff: 0.7880, Raw diff: 0.6502
Trans diff: 0.8003, Raw diff: 0.4795
Trans diff: 0.8154, Raw diff: 0.4795
Trans diff: 0.6755, Raw diff: 0.5022
Trans diff: 0.7449, Raw diff: 0.5022
Trans diff: 0.6934, Raw diff: 0.4074
Trans diff: 0.7385, Raw diff: 0.4074
Trans diff: 0.7222, Raw diff: 0.3789
Trans diff: 0.6972, Raw diff: 0.3789
Trans diff: 0.7324, Raw diff: 0.3995
Trans diff: 0.7155, Raw diff: 0.3995
Trans diff: 0.6507, Raw diff: 0.3359
Trans diff: 0.6300, Raw diff: 0.3359
Trans diff: 0.8191, Raw diff: 0.5925
Trans diff: 0.8324, Raw diff: 0.5925
Trans diff: 0.7874, Raw diff: 0.5101
Trans diff: 0.8035, Raw diff: 0.5101
Trans diff: 0.8012, Raw diff: 0.4873
Trans diff: 0.8039, Raw diff: 0.4873
Trans diff: 0.7402, Raw diff: 0.4845
Trans diff: 0.7538, Raw diff: 0.4845
Trans diff: 0.8109, Raw diff: 0.5074
Trans diff: 0.8309, Raw diff: 0.5074
Trans diff: 0.7970, Raw diff: 0.4505
Trans diff: 0.7729, Raw diff: 0.4505
Trans diff: 0.5103, Raw diff: 0.2804
Trans diff: 0.5584, Raw diff: 0.2804
Trans diff: 0.8833, Raw diff: 0.6698
Trans diff: 0.8681, Raw diff: 0.6698
Trans diff: 0.7887, Raw diff: 0.5221
Trans diff: 0.7625, Raw diff: 0.5221
Trans diff: 0.7207, Raw diff: 0.6367
Trans diff: 0.7763, Raw diff: 0.6367
Trans diff: 0.5078, Raw diff: 0.3348
Trans diff: 0.6068, Raw diff: 0.3348
Trans diff: 0.6104, Raw diff: 0.6226
Trans diff: 0.4587, Raw diff: 0.6226
Trans diff: 0.7568, Raw diff: 0.4896
Trans diff: 0.7092, Raw diff: 0.4896
Trans diff: 0.7260, Raw diff: 0.4971
Trans diff: 0.7478, Raw diff: 0.4971
Trans diff: 0.8016, Raw diff: 0.5161
Trans diff: 0.8100, Raw diff: 0.5161
Trans diff: 0.7573, Raw diff: 0.4443
Trans diff: 0.7693, Raw diff: 0.4443
Trans diff: 0.6364, Raw diff: 0.3652
Trans diff: 0.5705, Raw diff: 0.3652
Trans diff: 0.7840, Raw diff: 0.4978
Trans diff: 0.7985, Raw diff: 0.4978
Trans diff: 0.8286, Raw diff: 0.5844
Trans diff: 0.8225, Raw diff: 0.5844
Trans diff: 0.8439, Raw diff: 0.7666
Trans diff: 0.8349, Raw diff: 0.7666
Trans diff: 0.7106, Raw diff: 0.4500
Trans diff: 0.7254, Raw diff: 0.4500
Trans diff: 0.8351, Raw diff: 0.5489
Trans diff: 0.8382, Raw diff: 0.5489
Trans diff: 0.8004, Raw diff: 0.5390
Trans diff: 0.7882, Raw diff: 0.5390
Trans diff: 0.7639, Raw diff: 0.4295
Trans diff: 0.7544, Raw diff: 0.4295
Trans diff: 0.8330, Raw diff: 0.5633
Trans diff: 0.8334, Raw diff: 0.5633
Trans diff: 0.6793, Raw diff: 0.4323
Trans diff: 0.7128, Raw diff: 0.4323
Trans diff: 0.7830, Raw diff: 0.6098
Trans diff: 0.7434, Raw diff: 0.6098
Trans diff: 0.7440, Raw diff: 0.4358
Trans diff: 0.7685, Raw diff: 0.4358
Trans diff: 0.8378, Raw diff: 0.5969
Trans diff: 0.8284, Raw diff: 0.5969
Trans diff: 0.8142, Raw diff: 0.5212
Trans diff: 0.8265, Raw diff: 0.5212
Trans diff: 0.8082, Raw diff: 0.5070
Trans diff: 0.7964, Raw diff: 0.5070
Trans diff: 0.6726, Raw diff: 0.5087
Trans diff: 0.7312, Raw diff: 0.5087
Trans diff: 0.6480, Raw diff: 0.4914
Trans diff: 0.5631, Raw diff: 0.4914
Trans diff: 0.7927, Raw diff: 0.5391
Trans diff: 0.7583, Raw diff: 0.5391
Trans diff: 0.8009, Raw diff: 0.4214
Trans diff: 0.7559, Raw diff: 0.4214
Trans diff: 0.5734, Raw diff: 0.4012
Trans diff: 0.4208, Raw diff: 0.4012
Trans diff: 0.7866, Raw diff: 0.4321
Trans diff: 0.7432, Raw diff: 0.4321
Trans diff: 0.7825, Raw diff: 0.5342
Trans diff: 0.7626, Raw diff: 0.5342
Trans diff: 0.7729, Raw diff: 0.4505
Trans diff: 0.7970, Raw diff: 0.4505
Trans diff: 0.7903, Raw diff: 0.4748
Trans diff: 0.7954, Raw diff: 0.4748
Trans diff: 0.7974, Raw diff: 0.4625
Trans diff: 0.7895, Raw diff: 0.4625
Trans diff: 0.7983, Raw diff: 0.4851
Trans diff: 0.8000, Raw diff: 0.4851
Trans diff: 0.8234, Raw diff: 0.5860
Trans diff: 0.8042, Raw diff: 0.5860
Trans diff: 0.8489, Raw diff: 0.5682
